nom_plante,type_plante,superficie_hectare,latitude,longitude,region,ph,azote_ppm,phosphore_ppm,potassium_ppm,humidite_percent,matiere_organique_percent,temperature_celsius,avg_temp,total_rain,avg_humidity,avg_radiation,year,yield_tons_per_hectare,quality
Maïs,Céréale,5.61,36.8065,10.1815,Tunis,7.69,173.0,73.2,328.5,63.4,3.03,21.3,22.3,252.1,63.72,22.55,2023,6.573,medium
Maïs,Céréale,18.65,36.8065,10.1815,Tunis,6.36,149.4,35.8,256.8,11.8,0.78,34.7,22.3,252.1,63.72,22.55,2023,6.456,medium
Maïs,Céréale,32.23,36.8065,10.1815,Tunis,7.58,77.5,66.1,79.9,13.1,4.49,26.2,22.3,252.1,63.72,22.55,2023,5.592,medium
Maïs,Céréale,35.1,36.8065,10.1815,Tunis,7.68,89.6,49.5,77.5,11.5,7.72,35.1,22.3,252.1,63.72,22.55,2023,5.794,medium
Maïs,Céréale,37.16,36.8065,10.1815,Tunis,5.13,85.1,59.4,300.1,49.6,2.6,38.6,22.3,252.1,63.72,22.55,2023,7.377,high
Maïs,Céréale,3.0,36.8065,10.1815,Tunis,6.18,84.5,42.0,315.2,10.9,1.37,11.4,22.3,252.1,63.72,22.55,2023,6.389,high
Maïs,Céréale,31.18,36.8065,10.1815,Tunis,6.4,51.5,54.2,215.7,20.4,3.75,22.0,22.3,252.1,63.72,22.55,2023,6.587,medium
Maïs,Céréale,32.48,36.8065,10.1815,Tunis,6.0,167.7,55.3,349.8,49.5,1.72,12.1,22.3,252.1,63.72,22.55,2023,7.054,high
Maïs,Céréale,19.92,36.8065,10.1815,Tunis,8.26,156.6,44.9,275.2,37.5,4.59,38.2,22.3,252.1,63.72,22.55,2023,7.163,medium
Maïs,Céréale,35.14,36.8065,10.1815,Tunis,4.78,100.2,86.0,58.1,58.9,2.61,13.5,22.3,252.1,63.72,22.55,2023,6.264,medium
Maïs,Céréale,21.22,36.8065,10.1815,Tunis,7.44,206.8,35.4,112.1,55.0,6.55,39.7,22.3,252.1,63.72,22.55,2023,7.125,medium
Maïs,Céréale,45.23,36.8065,10.1815,Tunis,5.86,234.8,87.3,200.1,55.1,6.16,13.1,22.3,252.1,63.72,22.55,2023,7.689,high
Maïs,Céréale,47.55,36.8065,10.1815,Tunis,5.78,227.0,45.0,53.8,64.3,1.18,19.6,22.3,252.1,63.72,22.55,2023,6.067,high
Maïs,Céréale,39.69,36.8065,10.1815,Tunis,7.03,128.7,36.4,165.0,50.4,6.14,33.7,22.3,252.1,63.72,22.55,2023,6.964,medium
Maïs,Céréale,38.31,36.8065,10.1815,Tunis,4.73,150.9,49.7,360.7,31.1,1.38,14.3,22.7,102.3,61.98,23.5,2024,5.648,medium
Maïs,Céréale,49.35,36.8065,10.1815,Tunis,4.84,184.2,16.5,337.7,52.4,1.11,12.5,22.7,102.3,61.98,23.5,2024,5.103,medium
Maïs,Céréale,28.36,36.8065,10.1815,Tunis,7.75,238.4,98.7,313.7,32.6,1.13,33.3,22.7,102.3,61.98,23.5,2024,6.409,medium
Maïs,Céréale,32.81,36.8065,10.1815,Tunis,4.94,138.4,11.0,214.0,13.4,1.39,13.5,22.7,102.3,61.98,23.5,2024,5.22,medium
Maïs,Céréale,48.52,36.8065,10.1815,Tunis,8.35,112.5,35.7,354.0,23.4,7.72,10.4,22.7,102.3,61.98,23.5,2024,5.956,medium
Maïs,Céréale,31.75,36.8065,10.1815,Tunis,4.8,151.8,97.2,233.1,47.8,5.72,23.6,22.7,102.3,61.98,23.5,2024,6.737,medium
Maïs,Céréale,10.22,36.8065,10.1815,Tunis,4.68,91.8,95.5,361.6,37.3,5.15,18.3,22.7,102.3,61.98,23.5,2024,5.672,medium
Maïs,Céréale,40.88,36.8065,10.1815,Tunis,6.83,47.1,97.7,395.2,51.9,4.52,19.3,22.7,102.3,61.98,23.5,2024,6.086,high
Maïs,Céréale,43.44,36.8065,10.1815,Tunis,8.14,211.0,95.5,304.0,46.8,3.64,38.0,22.7,102.3,61.98,23.5,2024,6.735,medium
Maïs,Céréale,23.97,36.8065,10.1815,Tunis,8.45,63.1,63.5,183.3,68.2,6.82,35.1,22.7,102.3,61.98,23.5,2024,5.066,medium
Maïs,Céréale,47.29,36.8065,10.1815,Tunis,4.73,220.2,83.2,399.9,69.8,4.67,33.1,22.7,102.3,61.98,23.5,2024,5.828,medium
Maïs,Céréale,18.55,36.8065,10.1815,Tunis,6.3,58.4,95.9,262.2,23.7,5.54,28.5,22.7,102.3,61.98,23.5,2024,6.529,medium
Maïs,Céréale,20.77,36.8065,10.1815,Tunis,6.58,199.9,56.8,348.3,43.1,4.71,36.3,22.7,102.3,61.98,23.5,2024,7.244,high
Maïs,Céréale,22.44,36.8065,10.1815,Tunis,7.32,76.9,22.3,55.1,31.0,4.92,21.8,22.7,102.3,61.98,23.5,2024,5.575,medium
Maïs,Céréale,46.4,36.8065,10.1815,Tunis,6.56,202.4,45.7,267.7,61.7,7.62,14.4,22.7,102.3,61.98,23.5,2024,6.002,medium
Maïs,Céréale,7.32,36.8065,10.1815,Tunis,6.34,245.6,54.3,165.1,48.0,2.3,12.3,22.7,102.3,61.98,23.5,2024,6.483,medium
Maïs,Céréale,3.0,36.8065,10.1815,Tunis,5.23,106.0,90.7,215.9,50.1,1.79,15.8,22.7,102.3,61.98,23.5,2024,5.765,medium
Maïs,Céréale,34.83,36.8065,10.1815,Tunis,5.21,49.5,20.9,211.3,22.4,3.23,25.1,22.7,102.3,61.98,23.5,2024,5.16,medium
Maïs,Céréale,11.26,36.8065,10.1815,Tunis,7.99,232.6,15.5,146.9,58.4,6.11,15.5,22.7,102.3,61.98,23.5,2024,5.6,low
Maïs,Céréale,44.87,36.8065,10.1815,Tunis,6.97,111.2,51.6,311.6,12.2,2.39,31.4,22.7,102.3,61.98,23.5,2024,6.789,high
Maïs,Céréale,16.78,34.7406,10.7603,Sfax,4.93,128.4,57.9,134.9,26.2,3.33,10.6,23.19,66.3,63.1,23.75,2022,5.453,low
Maïs,Céréale,27.32,34.7406,10.7603,Sfax,4.98,225.9,63.4,287.7,57.4,4.24,12.6,23.19,66.3,63.1,23.75,2022,6.513,medium
Maïs,Céréale,49.34,34.7406,10.7603,Sfax,6.23,58.1,35.5,177.1,48.8,4.78,20.7,23.19,66.3,63.1,23.75,2022,5.524,medium
Maïs,Céréale,44.94,34.7406,10.7603,Sfax,4.91,63.6,32.1,106.2,21.2,2.64,15.2,23.19,66.3,63.1,23.75,2022,4.894,low
Maïs,Céréale,13.64,34.7406,10.7603,Sfax,6.14,246.1,20.1,189.2,68.2,6.99,34.5,23.19,66.3,63.1,23.75,2022,5.902,medium
Maïs,Céréale,21.85,34.7406,10.7603,Sfax,8.22,152.5,61.4,148.0,56.2,1.9,19.7,23.19,66.3,63.1,23.75,2022,5.041,medium
Maïs,Céréale,3.54,34.7406,10.7603,Sfax,4.96,164.3,36.0,253.4,19.3,4.11,26.0,23.19,66.3,63.1,23.75,2022,5.486,medium
Maïs,Céréale,30.19,34.7406,10.7603,Sfax,4.75,247.8,39.0,333.5,25.3,5.61,32.8,23.19,66.3,63.1,23.75,2022,5.205,medium
Maïs,Céréale,9.88,34.7406,10.7603,Sfax,5.9,234.5,84.8,387.8,17.5,5.98,38.2,23.19,66.3,63.1,23.75,2022,6.348,medium
Maïs,Céréale,40.91,34.7406,10.7603,Sfax,6.8,215.2,22.6,328.3,22.1,1.73,14.9,23.19,66.3,63.1,23.75,2022,5.822,high
Maïs,Céréale,15.77,34.7406,10.7603,Sfax,5.94,223.0,45.3,335.8,36.3,3.33,23.9,23.19,66.3,63.1,23.75,2022,6.386,high
Maïs,Céréale,47.05,34.7406,10.7603,Sfax,5.43,227.9,44.6,240.2,64.4,5.18,13.5,23.19,66.3,63.1,23.75,2022,5.528,medium
Maïs,Céréale,16.27,34.7406,10.7603,Sfax,5.06,204.7,65.8,236.7,63.6,6.41,14.6,23.19,66.3,63.1,23.75,2022,6.261,medium
Maïs,Céréale,42.48,34.7406,10.7603,Sfax,4.63,155.4,78.6,356.9,30.5,6.66,13.3,23.19,66.3,63.1,23.75,2022,6.127,medium
Maïs,Céréale,27.59,34.7406,10.7603,Sfax,7.69,63.0,30.6,302.8,53.2,5.31,30.8,23.19,66.3,63.1,23.75,2022,5.511,medium
Maïs,Céréale,29.73,34.7406,10.7603,Sfax,5.23,229.9,62.5,190.3,37.7,7.6,14.6,23.19,66.3,63.1,23.75,2022,7.195,medium
Maïs,Céréale,8.47,34.7406,10.7603,Sfax,4.57,221.9,93.9,247.8,51.8,7.42,31.2,23.19,66.3,63.1,23.75,2022,6.717,high
Maïs,Céréale,42.11,34.7406,10.7603,Sfax,6.2,192.0,94.1,373.9,37.1,1.35,39.5,23.19,66.3,63.1,23.75,2022,6.38,high
Maïs,Céréale,20.51,34.7406,10.7603,Sfax,6.87,117.8,14.9,167.3,58.2,0.53,20.0,23.19,66.3,63.1,23.75,2022,5.39,medium
Maïs,Céréale,9.64,34.7406,10.7603,Sfax,5.89,106.3,76.4,208.3,23.5,3.89,14.2,23.19,66.3,63.1,23.75,2022,5.229,medium
Maïs,Céréale,48.09,34.7406,10.7603,Sfax,8.16,109.7,62.3,271.3,10.8,5.48,15.3,22.99,99.6,62.52,23.86,2023,5.784,medium
Maïs,Céréale,45.0,34.7406,10.7603,Sfax,4.84,249.3,55.2,258.4,14.0,6.12,16.3,22.99,99.6,62.52,23.86,2023,5.864,medium
Maïs,Céréale,22.6,34.7406,10.7603,Sfax,4.65,133.9,60.8,73.0,56.5,3.9,25.7,22.99,99.6,62.52,23.86,2023,5.975,low
Maïs,Céréale,21.03,34.7406,10.7603,Sfax,5.12,70.0,87.6,381.1,32.4,2.53,29.3,22.99,99.6,62.52,23.86,2023,6.22,high
Maïs,Céréale,9.75,34.7406,10.7603,Sfax,4.61,78.8,30.8,285.2,11.2,1.28,34.0,22.99,99.6,62.52,23.86,2023,4.633,medium
Maïs,Céréale,11.04,34.7406,10.7603,Sfax,4.9,83.5,75.0,349.5,59.8,3.48,30.0,22.99,99.6,62.52,23.86,2023,5.959,medium
Maïs,Céréale,44.74,34.7406,10.7603,Sfax,4.55,48.8,28.7,59.3,20.9,4.87,22.6,22.99,99.6,62.52,23.86,2023,4.883,medium
Maïs,Céréale,22.37,34.7406,10.7603,Sfax,5.54,113.5,63.1,143.8,47.4,3.57,26.6,22.99,99.6,62.52,23.86,2023,6.194,medium
Maïs,Céréale,2.1,34.7406,10.7603,Sfax,7.55,60.8,88.2,220.6,63.7,6.5,22.8,22.99,99.6,62.52,23.86,2023,6.004,low
Maïs,Céréale,14.34,34.7406,10.7603,Sfax,7.03,86.7,22.5,342.2,69.1,4.44,15.2,22.99,99.6,62.52,23.86,2023,5.751,medium
Maïs,Céréale,45.1,34.7406,10.7603,Sfax,5.6,151.9,68.6,340.4,22.4,0.58,14.1,22.99,99.6,62.52,23.86,2023,6.004,high
Maïs,Céréale,3.3,34.7406,10.7603,Sfax,6.9,176.3,25.8,370.0,35.1,3.37,25.6,22.99,99.6,62.52,23.86,2023,6.548,medium
Maïs,Céréale,15.56,34.7406,10.7603,Sfax,4.83,162.7,32.1,186.3,27.3,3.17,31.6,22.99,99.6,62.52,23.86,2023,5.45,high
Maïs,Céréale,3.52,34.7406,10.7603,Sfax,7.15,236.1,75.9,125.2,11.9,2.47,27.9,22.99,99.6,62.52,23.86,2023,6.474,high
Maïs,Céréale,22.31,34.7406,10.7603,Sfax,5.84,199.6,19.6,76.3,53.7,4.22,30.7,22.99,99.6,62.52,23.86,2023,5.977,medium
Maïs,Céréale,7.7,34.7406,10.7603,Sfax,7.7,182.8,34.5,256.6,31.7,1.19,37.5,22.99,99.6,62.52,23.86,2023,5.85,medium
Maïs,Céréale,42.61,34.7406,10.7603,Sfax,5.24,149.2,88.6,306.3,58.4,5.44,30.8,22.99,99.6,62.52,23.86,2023,6.34,medium
Maïs,Céréale,28.83,34.7406,10.7603,Sfax,5.38,247.3,95.0,63.8,52.3,7.44,15.4,22.99,99.6,62.52,23.86,2023,5.785,medium
Maïs,Céréale,41.62,34.7406,10.7603,Sfax,8.2,243.6,95.0,216.0,61.7,6.83,19.6,22.99,99.6,62.52,23.86,2023,6.114,medium
Maïs,Céréale,16.45,34.7406,10.7603,Sfax,5.42,56.5,16.9,293.7,30.4,5.94,12.0,22.99,99.6,62.52,23.86,2023,6.27,medium
Maïs,Céréale,2.04,34.7406,10.7603,Sfax,5.78,167.7,89.7,265.6,24.0,0.68,36.1,23.42,46.9,61.74,24.37,2024,5.793,high
Maïs,Céréale,31.75,34.7406,10.7603,Sfax,8.26,205.7,99.8,172.7,56.0,3.51,24.4,23.42,46.9,61.74,24.37,2024,5.514,medium
Maïs,Céréale,12.45,34.7406,10.7603,Sfax,6.19,192.3,31.5,88.7,31.3,2.65,18.9,23.42,46.9,61.74,24.37,2024,5.655,medium
Maïs,Céréale,44.08,34.7406,10.7603,Sfax,6.04,179.5,29.6,382.5,57.2,1.17,22.5,23.42,46.9,61.74,24.37,2024,5.584,high
Maïs,Céréale,26.12,34.7406,10.7603,Sfax,6.95,66.7,99.2,131.1,66.6,5.37,28.2,23.42,46.9,61.74,24.37,2024,5.414,medium
Maïs,Céréale,46.46,34.7406,10.7603,Sfax,5.38,71.0,80.2,172.5,13.5,7.77,36.5,23.42,46.9,61.74,24.37,2024,5.892,medium
Maïs,Céréale,29.42,34.7406,10.7603,Sfax,7.28,63.9,83.4,128.6,23.4,4.53,27.8,23.42,46.9,61.74,24.37,2024,5.456,medium
Maïs,Céréale,21.01,34.7406,10.7603,Sfax,8.05,240.2,87.6,333.3,49.3,4.63,12.6,23.42,46.9,61.74,24.37,2024,5.738,medium
Maïs,Céréale,25.26,34.7406,10.7603,Sfax,7.39,139.1,17.3,127.1,51.0,1.07,35.5,23.42,46.9,61.74,24.37,2024,5.801,medium
Maïs,Céréale,33.26,34.7406,10.7603,Sfax,7.8,106.5,71.0,248.0,26.0,7.09,33.9,23.42,46.9,61.74,24.37,2024,6.264,medium
Maïs,Céréale,2.43,34.7406,10.7603,Sfax,7.29,179.6,65.7,313.5,19.5,7.11,36.2,23.42,46.9,61.74,24.37,2024,6.151,high
Maïs,Céréale,15.06,34.7406,10.7603,Sfax,5.84,193.6,24.5,336.3,59.9,4.31,10.2,23.42,46.9,61.74,24.37,2024,5.888,medium
Maïs,Céréale,27.52,34.7406,10.7603,Sfax,7.03,87.2,67.1,239.0,56.8,1.3,32.8,23.42,46.9,61.74,24.37,2024,5.6,medium
Maïs,Céréale,35.7,34.7406,10.7603,Sfax,7.03,235.0,19.2,378.0,51.3,1.01,19.0,23.42,46.9,61.74,24.37,2024,5.621,medium
Maïs,Céréale,7.37,34.7406,10.7603,Sfax,5.88,166.6,14.1,355.0,68.4,7.77,32.5,23.42,46.9,61.74,24.37,2024,6.096,medium
Maïs,Céréale,39.95,34.7406,10.7603,Sfax,7.23,128.1,34.6,399.0,35.6,3.89,14.9,23.42,46.9,61.74,24.37,2024,5.788,high
Maïs,Céréale,47.24,34.7406,10.7603,Sfax,4.83,179.7,68.9,145.6,67.1,1.63,23.0,23.42,46.9,61.74,24.37,2024,5.603,medium
Maïs,Céréale,2.53,34.7406,10.7603,Sfax,6.09,90.3,98.6,193.3,63.6,2.22,16.4,23.42,46.9,61.74,24.37,2024,5.197,high
Maïs,Céréale,42.39,34.7406,10.7603,Sfax,7.96,134.1,97.1,114.9,62.1,6.32,33.1,23.42,46.9,61.74,24.37,2024,5.779,medium
Maïs,Céréale,7.13,34.7406,10.7603,Sfax,5.02,37.2,92.9,265.8,57.8,4.11,13.5,23.42,46.9,61.74,24.37,2024,5.325,medium
Maïs,Céréale,23.31,35.8245,10.6346,Sousse,5.3,138.2,15.8,253.7,26.1,6.48,19.3,22.82,156.4,60.5,23.51,2022,6.131,low
Maïs,Céréale,6.14,35.8245,10.6346,Sousse,6.9,94.2,72.5,351.0,56.8,0.8,24.4,22.82,156.4,60.5,23.51,2022,6.169,medium
Maïs,Céréale,18.18,35.8245,10.6346,Sousse,6.97,184.5,60.4,53.4,29.6,4.38,12.6,22.82,156.4,60.5,23.51,2022,6.181,medium
Maïs,Céréale,35.62,35.8245,10.6346,Sousse,6.77,181.7,82.1,120.1,20.0,1.28,29.1,22.82,156.4,60.5,23.51,2022,6.138,medium
Maïs,Céréale,44.85,35.8245,10.6346,Sousse,7.34,221.6,74.3,330.6,30.4,6.61,12.4,22.82,156.4,60.5,23.51,2022,7.393,high
Maïs,Céréale,8.82,35.8245,10.6346,Sousse,6.31,171.6,57.4,306.1,14.9,0.95,17.4,22.82,156.4,60.5,23.51,2022,6.163,high
Maïs,Céréale,36.24,35.8245,10.6346,Sousse,8.4,104.1,26.4,326.4,49.5,4.24,26.7,22.82,156.4,60.5,23.51,2022,6.04,medium
Maïs,Céréale,36.63,35.8245,10.6346,Sousse,5.3,179.7,16.5,60.7,25.5,3.97,36.0,22.82,156.4,60.5,23.51,2022,5.612,medium
Maïs,Céréale,36.54,35.8245,10.6346,Sousse,5.88,111.6,98.9,64.0,62.0,4.84,23.2,22.82,156.4,60.5,23.51,2022,6.484,medium
Maïs,Céréale,31.95,35.8245,10.6346,Sousse,8.1,122.8,34.9,257.3,64.7,2.08,28.7,22.82,156.4,60.5,23.51,2022,5.495,medium
Maïs,Céréale,25.12,35.8245,10.6346,Sousse,7.36,230.0,26.2,133.1,68.3,1.86,35.6,22.82,156.4,60.5,23.51,2022,5.699,medium
Maïs,Céréale,13.65,35.8245,10.6346,Sousse,6.28,143.3,42.3,257.5,19.8,3.43,39.1,22.82,156.4,60.5,23.51,2022,6.085,high
Maïs,Céréale,26.47,35.8245,10.6346,Sousse,7.59,58.8,97.3,208.8,24.2,1.05,15.1,22.82,156.4,60.5,23.51,2022,6.075,medium
Maïs,Céréale,37.08,35.8245,10.6346,Sousse,6.22,84.7,65.5,297.4,20.0,1.76,11.1,22.82,156.4,60.5,23.51,2022,6.125,high
Maïs,Céréale,3.8,35.8245,10.6346,Sousse,7.88,207.2,62.7,353.9,22.4,1.34,18.1,22.82,156.4,60.5,23.51,2022,6.359,medium
Maïs,Céréale,8.27,35.8245,10.6346,Sousse,4.66,56.9,50.7,376.9,29.0,4.3,11.2,22.82,156.4,60.5,23.51,2022,6.352,medium
Maïs,Céréale,35.53,35.8245,10.6346,Sousse,6.32,143.4,54.0,283.4,18.4,0.72,19.2,22.82,156.4,60.5,23.51,2022,6.446,medium
Maïs,Céréale,42.07,35.8245,10.6346,Sousse,8.38,50.7,70.5,205.3,62.1,1.83,30.8,22.82,156.4,60.5,23.51,2022,5.515,medium
Maïs,Céréale,34.15,35.8245,10.6346,Sousse,6.49,165.9,88.2,249.7,11.8,7.48,30.7,22.82,156.4,60.5,23.51,2022,7.009,medium
Maïs,Céréale,20.94,35.8245,10.6346,Sousse,6.08,173.3,19.6,280.2,70.0,0.86,39.3,22.82,156.4,60.5,23.51,2022,5.813,high
Maïs,Céréale,38.35,35.8245,10.6346,Sousse,6.77,192.5,89.1,191.4,29.6,5.51,34.2,22.96,161.1,59.09,23.28,2023,6.864,high
Maïs,Céréale,35.08,35.8245,10.6346,Sousse,7.77,56.4,59.0,52.0,29.5,3.25,21.9,22.96,161.1,59.09,23.28,2023,5.474,low
Maïs,Céréale,23.71,35.8245,10.6346,Sousse,5.45,112.1,30.5,75.6,46.2,5.51,28.6,22.96,161.1,59.09,23.28,2023,6.437,medium
Maïs,Céréale,27.15,35.8245,10.6346,Sousse,6.58,135.4,12.3,169.4,32.8,3.49,27.4,22.96,161.1,59.09,23.28,2023,6.784,high
Maïs,Céréale,45.0,35.8245,10.6346,Sousse,7.75,188.0,96.0,56.4,21.7,0.56,29.4,22.96,161.1,59.09,23.28,2023,5.659,medium
Maïs,Céréale,16.06,35.8245,10.6346,Sousse,4.74,235.6,41.6,85.5,39.2,2.43,18.5,22.96,161.1,59.09,23.28,2023,6.031,medium
Maïs,Céréale,34.37,35.8245,10.6346,Sousse,5.75,164.3,74.5,145.4,34.8,1.41,15.4,22.96,161.1,59.09,23.28,2023,6.404,medium
Maïs,Céréale,27.96,35.8245,10.6346,Sousse,7.34,53.5,61.1,139.8,67.8,4.13,34.2,22.96,161.1,59.09,23.28,2023,5.869,medium
Maïs,Céréale,21.14,35.8245,10.6346,Sousse,8.31,162.4,83.7,359.5,23.7,2.09,28.3,22.96,161.1,59.09,23.28,2023,5.755,medium
Maïs,Céréale,23.14,35.8245,10.6346,Sousse,7.62,90.5,84.0,198.3,50.1,1.22,28.7,22.96,161.1,59.09,23.28,2023,5.667,medium
Maïs,Céréale,27.79,35.8245,10.6346,Sousse,7.45,219.8,29.5,83.5,11.4,5.31,28.2,22.96,161.1,59.09,23.28,2023,5.679,medium
Maïs,Céréale,36.16,35.8245,10.6346,Sousse,6.88,139.3,98.9,97.8,51.7,3.53,22.8,22.96,161.1,59.09,23.28,2023,6.65,high
Maïs,Céréale,18.39,35.8245,10.6346,Sousse,5.6,47.5,17.7,363.0,21.5,2.93,16.8,22.96,161.1,59.09,23.28,2023,5.696,medium
Maïs,Céréale,16.89,35.8245,10.6346,Sousse,4.77,206.1,31.0,239.0,62.8,5.38,26.0,22.96,161.1,59.09,23.28,2023,6.469,medium
Maïs,Céréale,47.92,35.8245,10.6346,Sousse,8.48,175.6,60.2,305.7,37.9,0.95,26.9,22.96,161.1,59.09,23.28,2023,6.409,medium
Maïs,Céréale,39.98,35.8245,10.6346,Sousse,5.3,147.9,18.7,207.6,55.4,3.11,29.9,22.96,161.1,59.09,23.28,2023,5.65,medium
Maïs,Céréale,38.01,35.8245,10.6346,Sousse,8.47,233.9,58.6,344.7,41.3,5.18,12.7,22.96,161.1,59.09,23.28,2023,6.809,medium
Maïs,Céréale,46.91,35.8245,10.6346,Sousse,7.63,185.9,13.3,156.1,25.8,3.2,12.6,22.96,161.1,59.09,23.28,2023,5.336,medium
Maïs,Céréale,42.72,35.8245,10.6346,Sousse,6.09,128.4,64.1,230.5,65.2,4.23,39.8,22.96,161.1,59.09,23.28,2023,6.546,medium
Maïs,Céréale,20.75,35.8245,10.6346,Sousse,6.02,223.2,88.1,332.1,57.4,2.79,12.4,22.96,161.1,59.09,23.28,2023,6.783,medium
Maïs,Céréale,24.87,35.8245,10.6346,Sousse,5.88,244.6,67.7,337.9,18.0,6.97,37.7,23.08,85.1,59.71,23.87,2024,6.86,high
Maïs,Céréale,7.62,35.8245,10.6346,Sousse,5.2,140.6,45.9,101.2,32.1,1.01,10.8,23.08,85.1,59.71,23.87,2024,5.508,medium
Maïs,Céréale,11.59,35.8245,10.6346,Sousse,8.36,125.1,38.1,227.1,36.4,1.29,29.2,23.08,85.1,59.71,23.87,2024,6.032,medium
Maïs,Céréale,35.06,35.8245,10.6346,Sousse,5.11,43.5,80.3,210.9,13.5,7.96,11.7,23.08,85.1,59.71,23.87,2024,5.422,medium
Maïs,Céréale,31.57,35.8245,10.6346,Sousse,7.27,43.7,55.8,398.8,58.8,5.11,19.2,23.08,85.1,59.71,23.87,2024,5.23,high
Maïs,Céréale,36.95,35.8245,10.6346,Sousse,5.02,225.1,50.5,118.1,32.1,3.61,34.8,23.08,85.1,59.71,23.87,2024,5.717,low
